Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Australia,AUS,70.8170731707,70.9731707317,70.9424390244,70.9117073171,70.8809756098,70.8502439024,70.8195121951,70.8692682927,70.9190243902,70.9687804878,71.0185365854,71.0682926829,71.4575609756,71.8468292683,72.236097561,72.6253658537,73.0146341463,73.3443902439,73.6741463415,74.003902439,74.3336585366,74.6634146341,74.9048780488,75.1463414634,75.387804878,75.6292682927,75.8707317073,76.1517073171,76.4326829268,76.7136585366,76.9946341463,77.2756097561,77.3780487805,77.8780487805,77.8780487805,77.8292682927,78.0780487805,78.4804878049,78.6317073171,78.9317073171,79.2341463415,79.6341463415,79.9365853659,80.2390243902,80.4902439024,80.8414634146,81.0414634146,81.2926829268,81.3951219512,81.543902439
Austria,AUT,68.5856097561,69.5773170732,69.3095121951,69.4436585366,69.9219512195,69.722195122,70.0458536585,69.917804878,70.0575609756,69.8331707317,69.8907317073,70.0692682927,70.4136585366,70.9792682927,70.9624390244,71.0841463415,71.5512195122,71.8953658537,71.9670731707,72.2873170732,72.4236585366,72.7580487805,72.8970731707,72.9685365854,73.5275609756,73.7451219512,74.2229268293,74.6692682927,75.1441463415,75.2480487805,75.53,75.567804878,75.8553658537,76.1063414634,76.4570731707,76.7156097561,76.9836585366,77.3875609756,77.5731707317,77.7756097561,78.0268292683,78.5268292683,78.6780487805,78.6317073171,79.1804878049,79.3317073171,79.8317073171,79.9829268293,80.2341463415,80.0829268293
Azerbaijan,AZE,60.8362439024,61.2391707317,61.6445853659,62.052,62.4574146341,62.8618292683,63.2672682927,63.6687317073,64.0567073171,64.4186829268,64.7346097561,64.9814390244,65.1481219512,65.2341707317,65.2435853659,65.1874390244,65.0822926829,64.9532195122,64.8287560976,64.7279512195,64.6813170732,64.7164390244,64.8307317073,65.008097561,65.225902439,65.4277804878,65.5413414634,65.5259268293,65.3691463415,65.0892682927,64.7463658537,64.4241463415,64.2072439024,64.1540243902,64.2815853659,64.5758292683,64.994,65.4623902439,65.9233658537,66.3554878049,66.7572195122,67.1476829268,67.5548536585,67.9943170732,68.457195122,68.9227317073,69.3614146341,69.7486585366,70.0678536585,70.3176341463
"Bahamas, The",BHS,63.2249268293,63.5934878049,63.9529512195,64.3053170732,64.6497073171,64.9793170732,65.2869512195,65.5636585366,65.8051219512,66.0115853659,66.182902439,66.3227073171,66.4389756098,66.5426585366,66.6439512195,66.7560487805,66.8890731707,67.0490243902,67.2374390244,67.4533658537,67.6973658537,67.9644634146,68.245097561,68.5236585366,68.7896097561,69.0233658537,69.203902439,69.3271219512,69.3984634146,69.426804878,69.4370487805,69.4571219512,69.515,69.6311707317,69.813097561,70.0563658537,70.3480487805,70.6627073171,70.9828536585,71.3034390244,71.6282926829,71.9696829268,72.3384878049,72.7371707317,73.1578292683,73.5836585366,73.9919268293,74.3654390244,74.6938536585,74.9752682927
Bahrain,BHR,51.779804878,53.2025853659,54.6219756098,56.0134390244,57.3574146341,58.634804878,59.8335121951,60.9560243902,62.0038536585,62.9744634146,63.8683902439,64.6892195122,65.4454878049,66.1482682927,66.8015609756,67.4118780488,67.9806585366,68.508902439,68.9990487805,69.4530731707,69.8744878049,70.2622926829,70.6175121951,70.9411463415,71.2357317073,71.5017560976,71.7397073171,71.9515853659,72.1399268293,72.3097073171,72.4649512195,72.6096829268,72.7473902439,72.881097561,73.013804878,73.1470243902,73.2802439024,73.4134634146,73.5431707317,73.6713658537,73.7960731707,73.9182926829,74.0375365854,74.1552926829,74.2715365854,74.3877317073,74.5078292683,74.6312926829,74.7586097561,74.8897804878
Bangladesh,BGD,47.7585365854,48.2351219512,48.801902439,49.4155365854,49.9818536585,50.2293902439,49.8322439024,48.6670487805,46.7816097561,44.3662926829,41.8859512195,39.9328780488,38.969902439,39.2523658537,40.7877560976,43.3347804878,46.445097561,49.5304146341,52.1278780488,54.0466341463,55.2358536585,55.8089268293,56.080195122,56.3081219512,56.581902439,56.9524146341,57.4232195122,57.9363658537,58.4469756098,58.9580731707,59.4711463415,59.9897073171,60.5147317073,61.0467317073,61.5832195122,62.1226829268,62.6621219512,63.1965609756,63.7219756098,64.233902439,64.7303414634,65.2083170732,65.6683170732,66.1098536585,66.5313658537,66.9322926829,67.3100731707,67.6666585366,68.0040243902,68.3252195122
Barbados,BRB,64.4752682927,65.0817804878,65.610804878,66.0707804878,66.4747073171,66.8380243902,67.1742439024,67.4968780488,67.8174634146,68.145,68.4875121951,68.8485121951,69.22,69.5960243902,69.9716097561,70.3433170732,70.703195122,71.0482682927,71.375,71.6823902439,71.9743658537,72.2553902439,72.5323902439,72.8072926829,73.0805365854,73.347097561,73.6034634146,73.8416341463,74.0576585366,74.2505365854,74.4172682927,74.5583658537,74.6783414634,74.7822439024,74.8740731707,74.9593658537,75.0426341463,75.1273902439,75.2156341463,75.3094146341,75.4082682927,75.5086829268,75.608195122,75.7052926829,75.8015365854,75.9009512195,76.0085609756,76.1293658537,76.2643658537,76.4130243902
Belarus,BLR,68.2738780488,68.5559268293,68.8120487805,69.0442195122,69.2564390244,69.458195122,69.6619756098,69.8737560976,70.0934634146,70.3150487805,70.5228780488,70.695804878,70.8183170732,70.8809268293,70.8837317073,70.8328780488,70.7385853659,70.6220243902,70.5043658537,70.4017073171,70.3346585366,70.324804878,70.3704878049,70.4620243902,70.5851707317,70.9926829268,71.5495121951,70.9902439024,71.3414634146,71.587804878,70.8365853659,70.3780487805,70.0219512195,68.9707317073,68.7682926829,68.4609756098,68.612195122,68.4609756098,68.4073170732,67.9073170732,68.912195122,68.5073170732,68.056097561,68.5536585366,68.956097561,68.8512195122,69.4048780488,70.2034146341,70.456097561,70.4073170732
Belgium,BEL,70.0703414634,70.0862195122,70.1012439024,70.1314634146,70.1894390244,70.2821463415,70.4085365854,70.558,70.7229756098,70.8994146341,71.0863170732,71.280195122,71.4810731707,71.6864878049,71.8959512195,72.1065365854,72.3162682927,72.5256585366,72.7377073171,72.9543902439,73.1846341463,73.4373414634,73.7164878049,74.021,74.3438536585,74.6710487805,74.9856097561,75.2725609756,75.5230243902,75.7365609756,75.9682926829,76.0707317073,76.2707317073,76.3170731707,76.5707317073,76.6682926829,76.9219512195,77.2219512195,77.8731707317,78.0707317073,78.1731707317,78.4731707317,78.5756097561,78.7292682927,78.8780487805,79.3276414634,79.7772365854,79.5341463415,79.4829268293,79.7365853659
Belize,BLZ,60.8958536585,61.391804878,61.8984878049,62.4154390244,62.9436097561,63.4774146341,64.0121707317,64.5417317073,65.0579756098,65.5598780488,66.0439512195,66.5127560976,66.9684390244,67.4126097561,67.845804878,68.2665609756,68.6743658537,69.068195122,69.4454878049,69.8057560976,70.147,70.4672926829,70.767097561,71.0464146341,71.305195122,71.543804878,71.7636097561,71.9660731707,72.1526829268,72.3260487805,72.486804878,72.6361707317,72.7738536585,72.901,73.0197317073,73.1276097561,73.2211463415,73.3007073171,73.3726341463,73.4443170732,73.5311219512,73.6489268293,73.8086341463,74.0136585366,74.2599268293,74.5368780488,74.827,75.1118536585,75.3775121951,75.6185121951
Benin,BEN,35.5763414634,35.8840487805,36.1792439024,36.4723414634,36.7753170732,37.1129756098,37.5101219512,37.9781707317,38.5196585366,39.1287317073,39.790097561,40.4805609756,41.170902439,41.8348780488,42.4575853659,43.0276097561,43.5434146341,44.0172926829,44.4575365854,44.8685121951,45.2471219512,45.5922682927,45.905902439,46.1964634146,46.4748536585,46.7579756098,47.0637804878,47.4027560976,47.7804878049,48.1980487805,48.6485365854,49.1231219512,49.6033902439,50.0734634146,50.5224146341,50.9412682927,51.3245121951,51.6740731707,51.9958292683,52.2917560976,52.5653414634,52.819097561,53.0615121951,53.3014878049,53.5489512195,53.8137317073,54.1066829268,54.4307317073,54.7873170732,55.1734146341
Bermuda,BMU,,,,,,68.897804878,,,,,70.29,,,,,,,,,,72.3046341463,,,,,,,,,,,74.0295121951,,,,,,,,,77.8648780488,,,,,78.5767073171,78.7190731707,78.8614390244,79.003804878,79.1461707317
Bhutan,BTN,37.0762682927,37.3144878049,37.5782195122,37.8669512195,38.1816829268,38.5209268293,38.8856585366,39.2753658537,39.6885609756,40.1257317073,40.5863658537,41.072,41.5821219512,42.1157560976,42.6708780488,43.2459756098,43.8425365854,44.4570487805,45.086,45.7233902439,46.3592195122,46.9834878049,47.5907073171,48.1824146341,48.7621219512,49.3393658537,49.9257073171,50.5361463415,51.1797073171,51.8628780488,52.5896341463,53.3589512195,54.1637804878,54.9941219512,55.8469756098,56.7233902439,57.6294390244,58.5621463415,59.5100487805,60.456097561,61.3742195122,62.2373170732,63.026804878,63.7316097561,64.3482195122,64.8806341463,65.3423902439,65.759097561,66.1513170732,66.5320487805
Bolivia,BOL,42.6520487805,42.9612926829,43.2725365854,43.5867804878,43.9035121951,44.2182195122,44.523902439,44.8220487805,45.1181707317,45.422804878,45.7510243902,46.1218780488,46.548902439,47.0406341463,47.6000731707,48.2261707317,48.9148536585,49.6480731707,50.4087804878,51.1849268293,51.9635609756,52.7382439024,53.5039756098,54.2558292683,54.9867317073,55.6896829268,56.3630731707,57.0088780488,57.6285121951,58.2189268293,58.7780731707,59.3024146341,59.7934634146,60.2537804878,60.6863902439,61.0958780488,61.4872926829,61.8657317073,62.2357560976,62.6008780488,62.9636829268,63.3241707317,63.678804878,64.0275121951,64.3692926829,64.7040487805,65.0302195122,65.3477317073,65.658097561,65.9638536585
Bosnia and Herzegovina,BIH,60.2073658537,60.8818536585,61.5188292683,62.1247804878,62.7057560976,63.2692926829,63.8224634146,64.3673414634,64.9074146341,65.4456829268,65.9866097561,66.5321219512,67.0786585366,67.6176341463,68.1404634146,68.6315853659,69.071902439,69.4529268293,69.7717317073,70.0324146341,70.2735853659,70.5480731707,70.8754878049,71.2393658537,71.5952926829,71.7950731707,71.6509268293,71.0824146341,70.1033658537,68.8140243902,67.4668536585,66.3856829268,65.829,65.9418536585,66.7302439024,68.068195122,69.714195122,71.3479512195,72.7164878049,73.714,74.3081219512,74.5531707317,74.6153658537,74.6348780488,74.6596341463,74.7236341463,74.8343658537,74.9686097561,75.1063170732,75.2504390244
Botswana,BWA,50.5372439024,50.8976341463,51.2455365854,51.5844146341,51.9217560976,52.2675365854,52.6327073171,53.0262439024,53.4566341463,53.9278780488,54.4444634146,55.0094146341,55.6137317073,56.246,56.8957317073,57.5469756098,58.1867560976,58.803097561,59.3890243902,59.9385609756,60.4592195122,60.9659512195,61.4692682927,61.9666585366,62.4456341463,62.9001463415,63.324195122,63.6917804878,63.9629756098,64.0963902439,64.0171707317,63.648,62.966,61.9767073171,60.7116341463,59.197804878,57.4776585366,55.6515365854,53.8417073171,52.1589512195,50.7654878049,49.8115609756,49.3375365854,49.3273414634,49.7374878049,50.4465609756,51.2843170732,52.0689512195,52.6636829268,53.0115365854
Brazil,BRA,54.4922195122,54.9587317073,55.4117560976,55.8482439024,56.2676341463,56.6708292683,57.0592439024,57.4393658537,57.8137317073,58.1863902439,58.561,58.938804878,59.3203902439,59.704804878,60.0944390244,60.4885121951,60.8866585366,61.2885853659,61.6921707317,62.0954390244,62.4965853659,62.8944390244,63.287902439,63.6762926829,64.0597560976,64.4393414634,64.8164878049,65.1934634146,65.5726097561,65.9543658537,66.3407317073,66.7342439024,67.1334146341,67.536804878,67.9408780488,68.3406341463,68.7315609756,69.109097561,69.4712439024,69.8144634146,70.1382682927,70.4396341463,70.724097561,70.9961463415,71.2617804878,71.5295365854,71.8109268293,72.1099512195,72.427097561,72.759804878
Brunei Darussalam,BRN,62.3364634146,62.8772682927,63.4029756098,63.9135853659,64.4106097561,64.8935853659,65.362,65.816902439,66.258804878,66.6882195122,67.1051463415,67.5096097561,67.903097561,68.2850731707,68.6580731707,69.0215853659,69.376097561,69.7221219512,70.0611463415,70.3926829268,70.7172195122,71.0357560976,71.3482926829,71.6538292683,71.9543658537,72.248902439,72.5384390244,72.8234878049,73.1040487805,73.381097561,73.6536585366,73.9232195122,74.1887804878,74.4508292683,74.7098780488,74.9674146341,75.2239268293,75.480902439,75.7363658537,75.9883414634,76.2323414634,76.464902439,76.6810487805,76.880804878,77.0626341463,77.2285853659,77.3806097561,77.524195122,77.6622926829,77.7979268293
Bulgaria,BGR,69.2475609756,70.1956097561,69.4919512195,70.3092682927,71.1212195122,71.293902439,71.2234146341,70.413902439,71.2251219512,70.43,71.2563414634,70.8736585366,70.8995121951,71.342195122,71.2080487805,71.0497560976,71.3948780488,70.816097561,71.1846341463,71.3082926829,71.1575609756,71.5719512195,71.186097561,71.3863414634,71.4997560976,71.2280487805,71.7307317073,71.5268292683,71.6043902439,71.7224390244,71.6414634146,71.5609756098,71.4943902439,71.3468292683,71.2087804878,71.0534146341,70.8973170732,70.3512195122,71.0609756098,71.412195122,71.6634146341,71.7682926829,71.8658536585,72.0658536585,72.5634146341,72.5609756098,72.612195122,72.6634146341,72.9634146341,73.412195122
Burkina Faso,BFA,35.8631463415,36.3746097561,36.8775609756,37.3750243902,37.8664878049,38.3574390244,38.8508780488,39.3498292683,39.8567560976,40.3736829268,40.9011219512,41.4385609756,41.9839756098,42.5334146341,43.0833658537,43.634804878,44.1902682927,44.7462195122,45.296195122,45.8301463415,46.3316097561,46.7850487805,47.1799512195,47.5113414634,47.7782195122,47.9815853659,48.1284390244,48.2338292683,48.3152195122,48.3846341463,48.4530487805,48.5274146341,48.6117317073,48.7100243902,48.8308292683,48.9797560976,49.1594390244,49.3699756098,49.6103414634,49.8854878049,50.2012926829,50.5655609756,50.9776341463,51.4323658537,51.9222195122,52.435195122,52.957902439,53.4769512195,53.9824878049,54.4660487805
Burundi,BDI,41.2365365854,41.5484634146,41.8668780488,42.1882926829,42.5067073171,42.8061463415,43.0675853659,43.2835121951,43.4539756098,43.5884390244,43.7059268293,43.8344390244,43.9979756098,44.2140243902,44.4880487805,44.822,45.2102926829,45.628902439,46.0538292683,46.4671219512,46.8593170732,47.2255121951,47.559804878,47.8462926829,48.0625121951,48.1605609756,48.0869512195,47.8301463415,47.4061219512,46.849804878,46.2271463415,45.6215365854,45.1109512195,44.7537560976,44.5784634146,44.5885121951,44.7584146341,45.0267073171,45.3384390244,45.6705609756,46.0050487805,46.3363902439,46.6730731707,47.0215609756,47.3803658537,47.7514634146,48.1388780488,48.5466341463,48.9757560976,49.4212682927
Cambodia,KHM,42.4041463415,42.894902439,43.4316829268,43.9905121951,44.5283902439,44.9758536585,45.2554146341,45.3065853659,45.0818536585,44.5562195122,43.6327073171,42.2078536585,40.3466097561,38.2119268293,36.011195122,34.1257317073,32.9853414634,32.840902439,33.789902439,35.7894146341,38.6240731707,41.9405853659,45.2767317073,48.251195122,50.6716097561,52.4350243902,53.570902439,54.2961463415,54.7996341463,55.1478536585,55.3972926829,55.5814634146,55.7143902439,55.8160487805,55.9238536585,56.0652682927,56.2572682927,56.4922682927,56.7671463415,57.0888292683,57.4641463415,57.8964634146,58.3752195122,58.8894390244,59.4286341463,59.9793902439,60.5283170732,61.0645853659,61.5808536585,62.072195122
Cameroon,CMR,41.5237560976,41.9653414634,42.4059512195,42.8435609756,43.2786585366,43.7151707317,44.1585121951,44.6136341463,45.0845609756,45.5717804878,46.0763902439,46.599,47.1336829268,47.6740487805,48.2146097561,48.7498780488,49.275804878,49.7883414634,50.280902439,50.7484634146,51.1865365854,51.5930731707,51.9681219512,52.307195122,52.6052926829,52.8563902439,53.054,53.196097561,53.2797317073,53.3008780488,53.253097561,53.127902439,52.9293170732,52.6668780488,52.3505609756,51.991902439,51.599902439,51.1915365854,50.7867560976,50.4065121951,50.0712682927,49.7929756098,49.578097561,49.4355609756,49.3748536585,49.4124146341,49.5611707317,49.8151707317,50.160902439,50.5829268293
Canada,CAN,71.1331707317,71.346097561,71.3670731707,71.3807317073,71.7763414634,71.872195122,72.0043902439,72.207804878,72.3534146341,72.5014634146,72.7004878049,73.0292682927,72.933902439,73.1626829268,73.2375609756,73.5217073171,73.856097561,74.2156097561,74.5297560976,74.8663414634,75.0780487805,75.4785365854,75.6804878049,76.0363414634,76.3175609756,76.3034146341,76.44,76.7395121951,76.8092682927,77.0656097561,77.3770731707,77.5534146341,77.3207317073,77.6851219512,77.8619512195,77.9775609756,78.2304878049,78.4804878049,78.6624390244,78.8829268293,79.2365853659,79.487804878,79.5902439024,79.8390243902,80.1414634146,80.2926829268,80.643902439,80.8043902439,80.9648780488,80.6617804878
Cape Verde,CPV,48.672,48.9037804878,49.1239512195,49.3410243902,49.5701707317,49.8411463415,50.1907804878,50.6387317073,51.1940243902,51.8530487805,52.5990243902,53.405097561,54.2333902439,55.0495365854,55.8353414634,56.5782439024,57.2783170732,57.9487804878,58.5987804878,59.2298292683,59.8433414634,60.439195122,61.0173170732,61.5797073171,62.1265121951,62.6583170732,63.1733170732,63.672195122,64.156195122,64.6254878049,65.0802195122,65.5195121951,65.9453170732,66.3601219512,66.7704390244,67.1823170732,67.603195122,68.0370487805,68.487804878,68.9563902439,69.4482682927,69.9698536585,70.5136585366,71.0676341463,71.6177804878,72.1406585366,72.6103414634,73.0108536585,73.336195122,73.586804878
Cayman Islands,CYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central African Republic,CAF,36.4826341463,36.8957073171,37.3187804878,37.7603414634,38.2253658537,38.7263658537,39.2737560976,39.8715609756,40.5182682927,41.2093902439,41.9419268293,42.7114634146,43.503,44.2975609756,45.0796585366,45.8327560976,46.5462926829,47.2112195122,47.8185365854,48.3547804878,48.8095365854,49.1763414634,49.4568292683,49.6525365854,49.7640243902,49.7922926829,49.7393170732,49.6130487805,49.4179756098,49.1595609756,48.8288780488,48.4149756098,47.9173902439,47.3506097561,46.7385853659,46.1062926829,45.4801707317,44.8916341463,44.3725609756,43.9533414634,43.6633658537,43.5235365854,43.5288292683,43.672195122,43.9461219512,44.3475609756,44.8675121951,45.4825365854,46.1632439024,46.8837073171
Chad,TCD,40.2428292683,40.6212682927,41.0037073171,41.3896341463,41.7775853659,42.162,42.5374146341,42.9022926829,43.2546585366,43.5964878049,43.9302926829,44.2620731707,44.5968292683,44.9415853659,45.2998780488,45.6787560976,46.0847560976,46.5154146341,46.9647073171,47.4276585366,47.8966829268,48.3657560976,48.822804878,49.2557804878,49.650195122,49.9915609756,50.2684146341,50.4772926829,50.6157560976,50.683804878,50.6799268293,50.607097561,50.4757804878,50.2989512195,50.088097561,49.8497317073,49.5858536585,49.3045121951,49.0171707317,48.7388292683,48.4889756098,48.2825853659,48.1295853659,48.0359756098,48.0112439024,48.0588536585,48.1812926829,48.3685853659,48.6057560976,48.8853170732
Channel Islands,CHI,70.6397804878,70.7344146341,70.830097561,70.9333170732,71.0475853659,71.1719268293,71.2993414634,71.4218536585,71.5359756098,71.6407073171,71.7390487805,71.836,71.9380487805,72.0501707317,72.1773658537,72.3246097561,72.493902439,72.6852439024,72.8931219512,73.1160243902,73.3449512195,73.5739268293,73.7959268293,74.0064634146,74.2065365854,74.3981219512,74.5877317073,74.7818292683,74.9854634146,75.1985853659,75.4182439024,75.6369268293,75.8496829268,76.053,76.2473902439,76.4373414634,76.629902439,76.8315365854,77.0472195122,77.2779268293,77.5241219512,77.7852682927,78.0538536585,78.3238292683,78.590195122,78.8448780488,79.082902439,79.3007560976,79.4984634146,79.6755365854
Chile,CHL,57.0162926829,57.4063414634,57.8295609756,58.2884146341,58.7809512195,59.3026829268,59.8456097561,60.403195122,60.9709512195,61.5472926829,62.1367073171,62.7466097561,63.3829756098,64.0492682927,64.743,65.4621463415,66.2067317073,66.9663170732,67.7274634146,68.4757317073,69.1917317073,69.8580731707,70.4637804878,71.0063658537,71.4847804878,71.905,72.2789512195,72.6234878049,72.9555121951,73.281902439,73.6035609756,73.9164146341,74.2139512195,74.495195122,74.7656829268,75.0414634146,75.3396341463,75.669804878,76.0330243902,76.4228292683,76.8217317073,77.2072195122,77.5552195122,77.8511707317,78.0895853659,78.2749756098,78.4158536585,78.5342682927,78.6472195122,78.7627073171
China,CHN,43.4578780488,43.7722926829,44.704195122,46.3235121951,48.5743902439,51.2869268293,54.2011219512,57.0098780488,59.4668536585,61.4486585366,62.9022439024,63.8667317073,64.5144390244,64.9957804878,65.3712682927,65.6915609756,65.9844390244,66.2510731707,66.495804878,66.7389268293,66.993804878,67.2629268293,67.534902439,67.7998536585,68.0592682927,68.3131463415,68.5594878049,68.7973170732,69.0271219512,69.2469268293,69.4597317073,69.6640243902,69.8618292683,70.0546341463,70.2429268293,70.4247317073,70.5990243902,70.7663170732,70.927097561,71.0833902439,71.2417073171,71.4055365854,71.5794390244,71.7648780488,71.9623414634,72.1713170732,72.3897317073,72.6125853659,72.8353414634,73.0565121951
Colombia,COL,56.7129268293,57.2438780488,57.7348536585,58.1958292683,58.6337560976,59.0520487805,59.4480731707,59.8197804878,60.1686585366,60.5027317073,60.8316829268,61.1642439024,61.5095609756,61.8756341463,62.2693902439,62.7040243902,63.1896097561,63.7223902439,64.2897317073,64.8772195122,65.4611463415,66.0129756098,66.512195122,66.943097561,67.2982926829,67.5755853659,67.7796341463,67.9340487805,68.061097561,68.1778292683,68.3055365854,68.4601219512,68.649,68.874902439,69.1393414634,69.4366829268,69.7576097561,70.0852439024,70.405195122,70.7118292683,71.0009756098,71.2736585366,71.5340243902,71.7882195122,72.0367804878,72.2797804878,72.5187560976,72.7537804878,72.9843414634,73.2099756098
