direccion_completa,lat,long,estado,horas,nombre,fecha
"Ceferino Ramírez, Adrogué, Buenos Aires, Argentina","-34.8035355","-58.3831826","hay-luz",\N,"Almirante Brown","2013-12-24 19:28:48"
"33 Orientales, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6264153","-58.4228554","corte-cuadra","2","Boedo","2013-12-24 19:33:50"
"Uspallata 560, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6299196","-58.3724531","hay-luz",\N,"Barracas","2013-12-24 19:35:37"
"Av Chiclana 3785, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6382048","-58.4171547","hay-luz",\N,"Boedo","2013-12-24 19:35:56"
"Av Manuel Montes de Oca 446, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6337972","-58.3755868","hay-luz",\N,"Barracas","2013-12-24 19:39:17"
"Primera Junta, Ciudad Madero, Buenos Aires, Argentina","-34.6887131","-58.5011101","hay-luz",\N,"La Matanza","2013-12-24 19:43:44"
"Agustín de Vedia, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6515579","-58.4280968","hay-luz",\N,"Nueva Pompeya","2013-12-24 19:44:41"
"Gral. Nazar, Aldo Bonzi, Buenos Aires, Argentina","-34.7081528","-58.5200615","hay-luz",\N,"La Matanza","2013-12-24 19:49:36"
"Arce 570, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5695962","-58.4331288","hay-luz",\N,"Palermo","2013-12-24 19:52:10"
"Av Eva Perón 1315, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6320793","-58.443651","hay-luz",\N,"Parque Chacabuco","2013-12-24 19:52:11"
"Besares 4705, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5549763","-58.4925464","hay-luz",\N,"Saavedra","2013-12-24 19:57:07"
"Bahía Blanca 1838, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6172699","-58.4940566","corte-cuadra",\N,"Monte Castro","2013-12-24 19:57:15"
"Av Raúl Scalabrini Ortiz 1771, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5898936","-58.4234016","hay-luz",\N,"Palermo","2013-12-24 19:58:31"
"Concordia 1500, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.618024","-58.4858457","corte-cuadra","2","Villa Santa Rita","2013-12-24 19:58:33"
"Av del Libertador 4444, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5671368","-58.4306546","hay-luz",\N,"Palermo","2013-12-24 20:03:27"
"Juan María Gutiérrez 3771, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5809045","-58.4132138","hay-luz",\N,"Palermo","2013-12-24 20:04:20"
"Av Acoyte 837, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6084037","-58.4401027","corte-cuadra",\N,"Caballito","2013-12-24 20:05:13"
"Arce 555, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5696558","-58.4329632","corte-amplio","3","Palermo","2013-12-24 20:05:18"
"Lavalleja 64, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6032992","-58.4381477","hay-luz",\N,"Villa Crespo","2013-12-24 20:06:46"
"Terrero, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6120186","-58.4637032","hay-luz",\N,"Villa Gral. Mitre","2013-12-24 20:09:50"
"Av San Juan, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6230888","-58.3966904","hay-luz",\N,"San Cristóbal","2013-12-24 20:14:37"
"Altolaguirre 1980, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5819367","-58.486945","corte-amplio","3","Villa Urquiza","2013-12-24 20:15:40"
"Boulogne Sur Mer 279, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6068957","-58.407396","hay-luz",\N,"Balvanera","2013-12-24 20:20:47"
"Gorriti 4600, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5921994","-58.4268696","hay-luz",\N,"Palermo","2013-12-24 20:22:51"
"Liniers 188, Monte Grande, Buenos Aires, Argentina","-34.8243939","-58.4586306","hay-luz",\N,"Esteban Echeverría","2013-12-24 20:25:41"
"Banfield, Buenos Aires, Argentina","-34.7446112","-58.3917316","hay-luz",\N,"Lomas de Zamora","2013-12-24 20:29:08"
"Uruguay, Victoria, Buenos Aires, Argentina","-34.4671021","-58.5574265","corte-amplio","100","San Fernando","2013-12-24 20:31:17"
"Palermo - Buenos Aires, Argentina","-34.5888889","-58.4305556","corte-amplio","24","Palermo","2013-12-24 20:31:23"
"Uruguay, Victoria, Buenos Aires, Argentina","-34.4671021","-58.5574265","hay-luz",\N,"San Fernando","2013-12-24 20:32:02"
"Gral. Alvear, Martínez, Buenos Aires, Argentina","-34.4850693","-58.4913254","hay-luz",\N,"San Isidro","2013-12-24 20:32:07"
"Batalla de Callao, Florencio Varela, Buenos Aires, Argentina","-34.7803459","-58.2725182","hay-luz",\N,"Florencio Varela","2013-12-24 20:33:24"
"Gurruchaga 576, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5965344","-58.4405831","hay-luz",\N,"Villa Crespo","2013-12-24 20:35:04"
"Franklin 7763, Rosario, Santa Fe, Argentina","-32.9185289","-60.7299826","hay-luz",\N,"Rosario","2013-12-24 20:35:11"
"33 Orientales, Beccar, Buenos Aires, Argentina","-34.4543533","-58.5251618","hay-luz",\N,"San Isidro","2013-12-24 20:39:06"
"Arenales 3069, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5896302","-58.4077469","hay-luz",\N,"Recoleta","2013-12-24 20:39:48"
"Franklin 500, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6077574","-58.4387183","corte-amplio","25","Caballito","2013-12-24 20:41:28"
"Thorne 429, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6296895","-58.450902","hay-luz",\N,"Caballito","2013-12-24 20:43:25"
"Julián Alvarez, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5934906","-58.4251785","corte-amplio","72","Palermo","2013-12-24 20:43:37"
"Villa Maipú, Buenos Aires, Argentina","-34.5687326","-58.5202126","corte-amplio","1","General San Martín","2013-12-24 20:44:09"
"Bauness, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5840874","-58.4803734","corte-cuadra","2","Parque Chas","2013-12-24 20:47:17"
"Juncal 3341, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5849592","-58.4112563","hay-luz",\N,"Palermo","2013-12-24 20:48:02"
"Gorriti 3685, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5955239","-58.4165144","hay-luz",\N,"Palermo","2013-12-24 20:49:25"
"Marcos Sastre, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6132812","-58.5047493","hay-luz",\N,"Monte Castro","2013-12-24 20:52:27"
"Serrano, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5955238","-58.4411736","hay-luz",\N,"Villa Crespo","2013-12-24 20:52:41"
"Lanús Oeste, Buenos Aires, Argentina","-34.6994247","-58.4115448","hay-luz",\N,"Lanús","2013-12-24 20:54:24"
"Cramer 2500, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5610338","-58.4645088","corte-cuadra","2","Belgrano","2013-12-24 20:54:38"
"Pres. Quintana 1554, Lanús Oeste, Buenos Aires, Argentina","-34.7074637","-58.4140684","corte-amplio","9","Lanús","2013-12-24 20:55:13"
"Allende 4407, Buenos Aires, Argentina","-34.6024117","-58.5227094","hay-luz",\N,"Villa Devoto","2013-12-24 21:00:17"
"Av Cabildo 300, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5727255","-58.4396648","hay-luz",\N,"Palermo","2013-12-24 21:01:20"
"La Pampa 5000, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5791105","-58.4789712","hay-luz",\N,"Villa Ortúzar","2013-12-24 21:04:39"
"Santos Dumont 3330, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5811051","-58.4466018","hay-luz",\N,"Colegiales","2013-12-24 21:22:28"
"Charcas 3001, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5930302","-58.4084495","corte-amplio","78","Recoleta","2013-12-24 21:23:16"
"Gallo 606, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6024634","-58.4128103","hay-luz",\N,"Almagro","2013-12-24 21:25:37"
"Thames 1000, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5920386","-58.4374834","corte-amplio","98","Villa Crespo","2013-12-24 21:29:40"
"Mozart 610, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6440825","-58.4892593","hay-luz",\N,"Parque Avellaneda","2013-12-24 21:38:24"
"Domingo Faustino Sarmiento 100, Monte Grande, Buenos Aires, Argentina","-34.812017","-58.4663819","corte-amplio","24","Esteban Echeverría","2013-12-24 21:47:28"
"Cramer 2500, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5610338","-58.4645088","corte-amplio","3","Belgrano","2013-12-24 21:47:28"
"Av Juan Bautista Alberdi, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6364784","-58.4773331","corte-amplio","3","Floresta","2013-12-24 21:55:11"
"Vélez Sarsfield - Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6333333","-58.4833333","corte-amplio","24","Vélez Sársfield","2013-12-24 21:57:09"
"Lanús Este, Buenos Aires, Argentina","-34.7132721","-58.3710861","corte-amplio","16","Lanús","2013-12-24 22:29:08"
"Sarachaga 5200, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6337684","-58.4986889","hay-luz",\N,"Villa Luro","2013-12-24 22:49:09"
"Puerto de Palos, Villa Dominico, Buenos Aires, Argentina","-34.6953239","-58.3397828","hay-luz",\N,"Avellaneda","2013-12-24 22:49:56"
"Av San Pedrito 103, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6321886","-58.4690034","corte-cuadra","12","Flores","2013-12-24 22:55:22"
"Combate de Los Pozos 400, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6139215","-58.3932125","corte-cuadra","144","Balvanera","2013-12-24 23:03:45"
"José Ingenieros, Beccar, Buenos Aires, Argentina","-34.4709053","-58.5474091","hay-luz",\N,"San Isidro","2013-12-24 23:06:22"
"Profesor Mair, Quilmes Oeste, Buenos Aires, Argentina","-34.7673225","-58.2820206","corte-amplio","2","Quilmes","2013-12-24 23:22:14"
"Cramer 2500, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5610338","-58.4645088","corte-cuadra","4","Belgrano","2013-12-24 23:30:00"
"Fragata Pres. Sarmiento, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6108055","-58.4555931","corte-amplio","6","Caballito","2013-12-24 23:49:11"
"Monte Grande, Buenos Aires, Argentina","-34.8271786","-58.4620124","corte-amplio","24","Esteban Echeverría","2013-12-25 00:48:01"
"Av Independencia, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6184692","-58.3975296","corte-amplio","5","San Cristóbal","2013-12-25 00:48:14"
"Ezeiza, Buenos Aires, Argentina","-34.8537327","-58.5228619","corte-amplio","24","Ezeiza","2013-12-25 00:48:21"
"Franklin 661, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6077051","-58.441482","hay-luz",\N,"Caballito","2013-12-25 01:41:31"
"Bernal, Buenos Aires, Argentina","-34.7108688","-58.2800827","hay-luz",\N,"Quilmes","2013-12-25 01:47:14"
"Charcas 2985, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.593109","-58.4081685","hay-luz",\N,"Recoleta","2013-12-25 01:56:38"
"Quilmes Oeste, Buenos Aires, Argentina","-34.7431829","-58.2975667","corte-amplio","3","Quilmes","2013-12-25 02:05:01"
"Rivadavia 2151, Benavídez, Buenos Aires, Argentina","-34.4122108","-58.6967392","hay-luz",\N,"Tigre","2013-12-25 02:13:35"
"Marcos Sastre 3837, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6096542","-58.4986831","hay-luz",\N,"Villa del Parque","2013-12-25 02:47:04"
"Puente Pueyrredón, Argentina","-34.6569366","-58.3705788","corte-cuadra","1","Avellaneda","2013-12-25 03:08:29"
"Armenia 2300, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5852967","-58.4209576","hay-luz",\N,"Palermo","2013-12-25 03:09:50"
"Gurruchaga 592, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5963854","-58.4403556","corte-amplio","1","Villa Crespo","2013-12-25 03:12:22"
"Alberto Larroque 819, Banfield, Buenos Aires, Argentina","-34.7438058","-58.4068169","hay-luz",\N,"Lomas de Zamora","2013-12-25 03:27:04"
"Lavalleja 488, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6008943","-58.4344494","corte-amplio","3","Villa Crespo","2013-12-25 03:37:10"
"Dellepiane Oeste, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6682052","-58.4756655","corte-amplio","5","Villa Lugano","2013-12-25 03:45:06"
"Cramer, Ramos Mejía, Buenos Aires, Argentina","-34.6371307","-58.5545273","hay-luz",\N,"La Matanza","2013-12-25 04:11:20"
"Av Avellaneda 2500, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6246948","-58.4660928","hay-luz",\N,"Flores","2013-12-25 04:38:05"
"Cramer 2500, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5610338","-58.4645088","corte-cuadra","10","Belgrano","2013-12-25 07:52:31"
"Concordia 4800, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.590342","-58.5109586","corte-amplio","6","Villa Devoto","2013-12-25 08:29:18"
"Av Estado de Israel 4577, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5995766","-58.429983","hay-luz",\N,"Villa Crespo","2013-12-25 09:36:43"
"Virrey Olaguer y Feliu, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5720435","-58.4560611","hay-luz",\N,"Colegiales","2013-12-25 10:03:04"
"Av Díaz Vélez 4334, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6087332","-58.4282049","hay-luz",\N,"Almagro","2013-12-25 10:18:53"
"Cramer 2500, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5610338","-58.4645088","hay-luz",\N,"Belgrano","2013-12-25 10:38:59"
"Emilio Mitre, Villa Sarmiento, Buenos Aires, Argentina","-34.6373329","-58.5751763","hay-luz",\N,"Morón","2013-12-25 11:04:30"
"Villa Santa Rita - Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6124","-58.4811","corte-amplio","200","Villa Santa Rita","2013-12-25 11:51:49"
"José Bonifacio 2292, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6318889","-58.4594193","corte-amplio","48","Flores","2013-12-25 11:55:14"
"Dragones 1971, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5539323","-58.4399881","hay-luz",\N,"Belgrano","2013-12-25 12:22:19"
"Hortiguera 400, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6271412","-58.4454915","hay-luz",\N,"Caballito","2013-12-25 12:35:51"
"Río de Janeiro 609, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6085824","-58.430483","hay-luz",\N,"Almagro","2013-12-25 12:42:51"
"Lavalle 2560, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6034219","-58.4030677","hay-luz",\N,"Balvanera","2013-12-25 12:47:00"
"Vélez Sarsfield, Lanús Oeste, Buenos Aires, Argentina","-34.6996803","-58.3906136","hay-luz",\N,"Lanús","2013-12-25 12:49:45"
"Cullen 5690, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5764214","-58.4943187","hay-luz",\N,"Villa Urquiza","2013-12-25 12:49:45"
"Andonaegui 900, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5913596","-58.4758149","hay-luz",\N,"Parque Chas","2013-12-25 12:56:20"
"Pedernera 35, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6297859","-58.463892","hay-luz",\N,"Flores","2013-12-25 13:07:50"
"José Eusebio Colombres, Lomas de Zamora, Buenos Aires, Argentina","-34.7622948","-58.4149781","hay-luz",\N,"Lomas de Zamora","2013-12-25 13:27:40"
"Quito 4121, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6169216","-58.4247223","hay-luz",\N,"Almagro","2013-12-25 13:46:56"
"Av Asamblea, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6355476","-58.4403","hay-luz","3","Parque Chacabuco","2013-12-25 13:53:48"
"Bogotá, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6275253","-58.4714203","hay-luz",\N,"Flores","2013-12-25 14:05:41"
"Larrea 1100, Ramos Mejía, Buenos Aires, Argentina","-34.6480184","-58.5432299","hay-luz",\N,"La Matanza","2013-12-25 15:11:22"
"Güemes 4232, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5840601","-58.4202454","hay-luz",\N,"Palermo","2013-12-25 16:08:08"
"Av Ruiz Huidobro 3667, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5498167","-58.4843115","hay-luz",\N,"Saavedra","2013-12-25 16:08:47"
"Cañuelas 200, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.5975074","-58.4472123","hay-luz",\N,"Villa Crespo","2013-12-25 17:07:10"
"Marcos Sastre, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6132812","-58.5047493","corte-cuadra","5","Monte Castro","2013-12-25 18:11:58"
"Av Rivadavia 8500, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6341989","-58.4832556","hay-luz",\N,"Vélez Sársfield","2013-12-25 18:29:24"
"Brandsen 1700, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6378619","-58.3747154","hay-luz",\N,"Barracas","2013-12-25 18:43:19"
"Yerbal 1862, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6254285","-58.4569174","hay-luz",\N,"Flores","2013-12-25 18:51:20"
"Catania 5600, Buenos Aires, Ciudad Autónoma de Buenos Aires, Argentina","-34.6454023","-58.502813","corte-amplio","96","Liniers","2013-12-25 18:55:57"
"Rodolfo López, Quilmes, Buenos Aires, Argentina","-34.7251511","-58.2734795","hay-luz",\N,"Quilmes","2013-12-25 19:00:37"
